Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:parent:position=after,node:CLH:own:Mood=Ind	     22	       14	 no      	 -0.078	 72.727	  36.36	   1.03
node:X:own:Voice=Act,node:X:own:Tense=Pres        	     53	       44	 no      	 -0.005	 81.818	  16.98	   0.49
node:CLH:own:VerbForm=Fin,node:X:parent:position=after	     22	       14	 no      	 -0.595	 72.727	  36.36	   1.03
node:X:own:Tense=Pres,node:CLH:own:Mood=Ind       	     31	       23	 no      	 -0.058	 72.727	  25.81	   0.76
node:X:parent:position=after,node:X:own:Tense=Pres	     10	        3	 no      	 -0.221	 63.636	  70.00	   1.81
node:Y:own:Polarity=Neg,node:X:child:rel_shallow=mark	    225	      222	 yes     	  0.040	 85.714	  98.67	   0.16
node:X:child:rel_shallow=mark                     	    225	      222	 yes     	  0.002	 85.714	  98.67	   0.16
node:X:child:rel_shallow=mark,node:X:child:Definite=Def	    167	      166	 yes     	  0.035	 64.093	  99.40	   0.22
node:X:child:rel_shallow=mark,node:Y:own:has_child=No	    225	      222	 yes     	  0.065	 85.714	  98.67	   0.16
node:X:child:rel_shallow=mark,node:CLH:own:Voice=Act	    153	      152	 yes     	  0.022	 58.687	  99.35	   0.21
node:X:child:rel_shallow=punct,node:X:own:Mood=Ind	     20	       14	 no      	 -0.047	 54.545	  30.00	   0.87
node:X:child:upos=PUNCT,node:X:own:Mood=Ind       	     20	       14	 no      	 -0.077	 54.545	  30.00	   0.87
node:X:child:upos=PUNCT,node:X:own:VerbForm=Fin   	     20	       14	 no      	 -0.247	 54.545	  30.00	   0.87
node:X:child:Gender=Com,node:X:child:upos=SCONJ   	    148	      147	 yes     	  0.040	 56.757	  99.32	   0.21
node:X:child:rel_shallow=punct,node:X:own:VerbForm=Fin	     20	       14	 no      	 -0.012	 54.545	  30.00	   0.87
node:X:own:Voice=Act,node:X:parent:position=after 	     30	       22	 no      	 -0.038	 72.727	  26.67	   0.78
node:X:own:Voice=Act,node:X:own:Mood=Ind          	     93	       83	 no      	 -0.060	 90.909	  10.75	   0.28
node:X:child:rel_shallow=nsubj,node:X:child:Definite=Ind	    119	      118	 yes     	  0.002	 45.560	  99.16	   0.20
node:X:child:rel_shallow=nsubj,node:X:child:upos=ADV	     87	       86	 yes     	  0.044	 33.205	  98.85	   0.17
node:CLH:own:Tense=Pres,node:X:child:Number=Sing  	     40	       33	 no      	 -0.011	 63.636	  17.50	   0.51
node:X:own:Mood=Ind,node:X:child:Number=Sing      	     94	       85	 no      	 -0.105	 81.818	   9.57	   0.24
node:X:own:VerbForm=Fin,node:X:child:Number=Sing  	     94	       85	 no      	 -0.033	 81.818	   9.57	   0.24
node:X:child:Gender=Com,node:X:child:Definite=Def 	    157	      153	 yes     	  0.145	 59.073	  97.45	   0.08
