Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:child:rel_shallow=mark,node:Y:own:has_child=No	    226	      221	 yes     	  0.021	 88.400	  97.79	   0.11
node:X:child:rel_shallow=mark,node:X:own:Voice=Act	    181	      178	 yes     	  0.073	 71.200	  98.34	   0.14
node:X:child:upos=ADV,node:X:child:Number=Sing    	     71	       64	 no      	 -0.084	 63.636	   9.86	   0.24
node:X:own:Mood=Ind,node:X:child:upos=ADV         	     32	       27	 no      	 -0.129	 45.455	  15.62	   0.44
node:X:child:rel_shallow=obj,node:X:parent:position=before	    102	      101	 yes     	  0.015	 40.400	  99.02	   0.19
node:Y:own:has_child=No,node:X:child:upos=AUX     	    106	      105	 yes     	  0.038	 42.000	  99.06	   0.20
node:X:child:Voice=Act,node:X:child:upos=AUX      	    106	      105	 yes     	  0.014	 42.000	  99.06	   0.20
node:X:child:rel_shallow=punct,node:X:own:Voice=Act	     41	       36	 no      	 -0.104	 45.455	  12.20	   0.33
node:X:child:upos=AUX                             	    106	      105	 yes     	  0.066	 42.000	  99.06	   0.20
node:X:child:upos=ADV,node:X:child:Gender=Com     	     72	       65	 no      	 -0.017	 63.636	   9.72	   0.24
node:X:child:rel_shallow=mark,node:X:own:rel_shallow=advcl	    136	      134	 yes     	  0.006	 53.600	  98.53	   0.16
node:X:own:Mood=Ind,node:X:child:Gender=Com       	     89	       82	 no      	 -0.029	 63.636	   7.87	   0.16
node:X:parent:position=before,node:Y:own:has_child=No	    225	      219	 yes     	  0.052	 87.600	  97.33	   0.08
node:X:child:upos=ADV,node:X:own:VerbForm=Fin     	     32	       27	 no      	 -0.002	 45.455	  15.62	   0.44
node:X:child:Gender=Com,node:X:own:VerbForm=Fin   	     89	       82	 no      	 -0.044	 63.636	   7.87	   0.16
node:X:child:upos=AUX,node:Y:own:Polarity=Neg     	    106	      105	 yes     	  0.000	 42.000	  99.06	   0.20
node:X:child:rel_shallow=punct,node:X:own:VerbForm=Inf	     25	       21	 no      	 -0.037	 36.364	  16.00	   0.45
node:X:child:PronType=Prs,node:CLH:own:VerbForm=Fin	     69	       69	 yes     	  0.011	 27.600	 100.00	   0.29
node:X:child:Definite=Ind,node:X:child:upos=PRON  	    107	      100	 no      	 -0.042	 63.636	   6.54	   0.11
node:X:child:upos=PUNCT,node:X:own:Voice=Act      	     42	       37	 no      	 -0.158	 45.455	  11.90	   0.32
node:X:parent:position=before,node:X:own:Voice=Act	    181	      177	 yes     	  0.016	 70.800	  97.79	   0.11
node:CLH:own:Voice=Act,node:X:own:VerbForm=Fin    	     68	       62	 no      	 -0.072	 54.545	   8.82	   0.20
node:X:child:rel_shallow=xcomp,node:X:child:upos=PUNCT	      9	        6	 no      	 -0.157	 27.273	  33.33	   0.95
node:X:child:Case=Nom,node:X:child:upos=ADV       	     75	       68	 no      	 -0.013	 63.636	   9.33	   0.22
node:X:child:Definite=Def,node:X:child:upos=NOUN  	    119	      112	 no      	 -0.015	 63.636	   5.88	   0.08
node:X:child:Case=Acc,node:X:child:upos=SCONJ     	     36	       33	 no      	 -0.342	 27.273	   8.33	   0.18
