Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:parent:position=after,node:X:own:Tense=Pres	     11	        7	 yes     	  0.077	 63.636	  63.64	   1.30
node:X:child:Definite=Def,node:X:child:rel_shallow=mark	     68	        1	 no      	 -0.012	 67.677	  98.53	   0.35
node:X:child:upos=SCONJ                           	     88	        3	 no      	 -0.008	 85.859	  96.59	   0.25
node:X:child:upos=SCONJ,node:Y:own:has_child=No   	     88	        3	 no      	 -0.003	 85.859	  96.59	   0.25
node:X:child:upos=SCONJ,node:X:child:rel_shallow=mark	     88	        3	 no      	 -0.001	 85.859	  96.59	   0.25
node:X:child:upos=SCONJ,node:X:own:VerbForm=Fin   	     88	        3	 no      	 -0.189	 85.859	  96.59	   0.25
node:X:child:upos=SCONJ,node:X:child:Gender=Com   	     72	        2	 no      	 -0.031	 70.707	  97.22	   0.28
node:X:child:upos=PUNCT,node:X:own:Voice=Act      	     20	        6	 yes     	  0.005	 54.545	  30.00	   0.55
node:X:own:Voice=Act,node:X:child:rel_shallow=punct	     20	        6	 yes     	  0.016	 54.545	  30.00	   0.55
node:X:parent:position=before,node:X:child:Definite=Def	     68	        1	 no      	 -0.017	 67.677	  98.53	   0.35
node:X:child:Definite=Ind,node:X:child:rel_shallow=nsubj	     59	        2	 no      	 -0.009	 57.576	  96.61	   0.25
node:X:child:upos=ADV,node:X:child:rel_shallow=nsubj	     48	        2	 no      	 -0.021	 46.465	  95.83	   0.22
node:CLH:own:Voice=Act,node:X:child:rel_shallow=mark	     65	        2	 no      	 -0.009	 63.636	  96.92	   0.27
node:CLH:own:VerbForm=Fin,node:X:child:rel_shallow=mark	     49	        1	 no      	 -0.011	 48.485	  97.96	   0.32
node:X:child:Definite=Def,node:X:child:Gender=Com 	     68	        4	 no      	 -0.026	 64.646	  94.12	   0.15
node:X:child:Definite=Def,node:X:child:rel_shallow=obj	     41	        1	 no      	 -0.060	 40.404	  97.56	   0.30
node:X:parent:position=before,node:CLH:own:VerbForm=Fin	     46	        1	 no      	 -0.025	 45.455	  97.83	   0.31
node:X:child:PronType=Prs,node:X:own:Tense=Pres   	     42	        7	 yes     	  0.024	 63.636	  16.67	   0.20
