Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:child:upos=SCONJ,node:X:own:Mood=Ind,node:X:own:VerbForm=Fin	     43	        1	 no      	 -0.023	 89.362	  97.67	   0.29
node:X:child:upos=SCONJ,node:X:child:rel_shallow=mark	     43	        1	 no      	 -0.250	 89.362	  97.67	   0.29
node:X:child:upos=SCONJ,node:Y:own:has_child=No,node:X:child:rel_shallow=mark	     43	        1	 no      	 -0.319	 89.362	  97.67	   0.29
node:X:child:upos=SCONJ,node:X:own:Mood=Ind       	     43	        1	 no      	 -0.012	 89.362	  97.67	   0.29
node:X:child:upos=SCONJ,node:X:own:Mood=Ind,node:X:child:rel_shallow=mark	     43	        1	 no      	 -0.389	 89.362	  97.67	   0.29
node:X:child:upos=SCONJ,node:X:own:VerbForm=Fin,node:X:child:rel_shallow=mark	     43	        1	 no      	 -0.064	 89.362	  97.67	   0.29
node:X:child:upos=SCONJ,node:Y:own:has_child=No   	     43	        1	 no      	 -0.445	 89.362	  97.67	   0.29
node:X:child:rel_shallow=mark                     	     43	        1	 no      	 -0.091	 89.362	  97.67	   0.29
node:X:own:Mood=Ind,node:X:child:rel_shallow=mark 	     43	        1	 no      	 -0.010	 89.362	  97.67	   0.29
node:X:own:Mood=Ind,node:Y:own:has_child=No,node:X:child:rel_shallow=mark	     43	        1	 no      	 -0.510	 89.362	  97.67	   0.29
node:X:child:upos=SCONJ,node:X:child:Case=Nom     	     43	        1	 no      	 -0.006	 89.362	  97.67	   0.29
node:X:own:Mood=Ind,node:X:own:VerbForm=Fin,node:X:child:rel_shallow=mark	     43	        1	 no      	 -0.541	 89.362	  97.67	   0.29
node:X:child:upos=SCONJ,node:X:own:Mood=Ind,node:X:child:Case=Nom	     43	        1	 no      	 -0.139	 89.362	  97.67	   0.29
node:X:child:Case=Nom,node:X:own:VerbForm=Fin,node:X:child:rel_shallow=mark	     43	        1	 no      	 -0.069	 89.362	  97.67	   0.29
node:X:own:Mood=Ind,node:X:child:Case=Nom,node:X:child:rel_shallow=mark	     43	        1	 no      	 -0.604	 89.362	  97.67	   0.29
node:Y:own:has_child=No,node:X:child:rel_shallow=mark	     43	        1	 no      	 -0.635	 89.362	  97.67	   0.29
node:X:child:upos=SCONJ,node:X:child:Case=Nom,node:Y:own:has_child=No	     43	        1	 no      	 -0.218	 89.362	  97.67	   0.29
