Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:own:Voice=Act,node:X:child:upos=SCONJ,node:X:child:Definite=Ind	     47	        0	 no      	 -0.019	 51.648	 100.00	   0.38
node:X:own:Voice=Act,node:X:child:upos=PRON,node:X:child:rel_shallow=mark	     60	        1	 no      	 -0.013	 64.835	  98.33	   0.25
node:CLH:own:Voice=Act,node:X:child:upos=ADV,node:X:child:Case=Nom	     24	        5	 yes     	  0.044	 71.429	  20.83	   0.44
node:X:own:Voice=Act,node:X:child:rel_shallow=mark,node:X:child:Definite=Ind	     47	        0	 no      	 -0.074	 51.648	 100.00	   0.38
node:X:own:Voice=Act,node:X:child:Definite=Ind,node:X:parent:position=before	     46	        0	 no      	 -0.004	 50.549	 100.00	   0.38
node:X:own:Voice=Act,node:X:own:VerbForm=Fin,node:X:child:rel_shallow=mark	     74	        2	 no      	 -0.032	 79.121	  97.30	   0.20
node:X:own:Voice=Act,node:X:child:rel_shallow=mark,node:Y:own:has_child=No	     74	        2	 no      	 -0.053	 79.121	  97.30	   0.20
node:X:own:Mood=Ind,node:X:own:Voice=Act,node:X:child:rel_shallow=mark	     74	        2	 no      	 -0.085	 79.121	  97.30	   0.20
node:X:own:Voice=Act,node:X:child:rel_shallow=mark	     74	        2	 no      	 -0.090	 79.121	  97.30	   0.20
node:CLH:own:Voice=Act,node:X:child:upos=ADV,node:X:child:rel_shallow=obl	      7	        3	 yes     	  0.010	 42.857	  42.86	   0.99
node:X:child:upos=SCONJ,node:X:child:rel_shallow=obl,node:X:child:PronType=Prs	     17	        3	 yes     	  0.080	 42.857	  17.65	   0.35
node:X:child:upos=NOUN,node:X:child:Gender=Com,node:X:child:Definite=Def	     45	        5	 yes     	  0.005	 71.429	  11.11	   0.14
node:X:child:upos=NOUN,node:X:child:Number=Sing,node:X:child:Definite=Def	     45	        5	 yes     	  0.012	 71.429	  11.11	   0.14
node:X:child:upos=PRON,node:X:child:Voice=Act,node:X:child:Definite=Ind	     17	        3	 yes     	  0.064	 42.857	  17.65	   0.35
node:X:own:VerbForm=Fin,node:X:child:rel_shallow=mark,node:Y:own:has_child=No	     88	        4	 no      	 -0.001	 92.308	  95.45	   0.11
node:X:child:rel_shallow=mark,node:Y:own:has_child=No	     88	        4	 no      	 -0.103	 92.308	  95.45	   0.11
node:X:child:rel_shallow=nsubj,node:X:child:Case=Acc,node:X:parent:position=before	      8	        2	 yes     	  0.097	 28.571	  25.00	   0.55
node:X:child:upos=PRON,node:X:child:Gender=Com,node:X:child:Definite=Ind	     44	        4	 yes     	  0.002	 57.143	   9.09	   0.07
node:X:child:upos=PRON,node:X:child:Number=Sing,node:X:child:Definite=Ind	     44	        4	 yes     	  0.025	 57.143	   9.09	   0.07
node:X:own:Mood=Ind,node:X:child:rel_shallow=mark,node:Y:own:has_child=No	     88	        4	 no      	 -0.118	 92.308	  95.45	   0.11
node:X:child:rel_shallow=nsubj,node:X:child:Number=Sing,node:X:child:Case=Acc	      8	        2	 yes     	  0.042	 28.571	  25.00	   0.55
node:X:child:upos=SCONJ,node:X:own:Tense=Pres,node:Y:own:has_child=No	     36	        1	 no      	 -0.009	 38.462	  97.22	   0.19
node:X:child:rel_shallow=mark,node:X:own:Tense=Pres,node:Y:own:has_child=No	     36	        1	 no      	 -0.024	 38.462	  97.22	   0.19
node:X:child:upos=SCONJ,node:X:child:rel_shallow=nsubj,node:X:child:Case=Acc	      8	        2	 yes     	  0.008	 28.571	  25.00	   0.55
node:X:child:Gender=Com,node:X:child:rel_shallow=nsubj,node:X:child:Case=Acc	      8	        2	 yes     	  0.138	 28.571	  25.00	   0.55
node:X:child:rel_shallow=nsubj,node:X:child:Definite=Def,node:X:own:Tense=Past	     45	        4	 yes     	  0.025	 57.143	   8.89	   0.07
node:X:child:Gender=Com,node:X:child:rel_shallow=conj,node:X:child:Definite=Ind	      5	        2	 yes     	  0.009	 28.571	  40.00	   0.92
node:CLH:own:Voice=Act,node:X:child:upos=NOUN,node:X:child:Definite=Def	     32	        4	 yes     	  0.056	 57.143	  12.50	   0.19
node:X:child:VerbForm=Fin,node:X:child:upos=PRON,node:X:child:rel_shallow=conj	      5	        2	 yes     	  0.017	 28.571	  40.00	   0.92
node:X:child:rel_shallow=conj,node:X:child:Number=Sing,node:X:child:Definite=Ind	      5	        2	 yes     	  0.056	 28.571	  40.00	   0.92
node:X:own:VerbForm=Fin,node:X:child:rel_shallow=advcl,node:X:own:Tense=Past	     15	        0	 no      	 -0.020	 16.484	 100.00	   0.38
node:X:child:rel_shallow=advcl,node:X:child:Number=Sing,node:X:own:Tense=Past	     15	        0	 no      	 -0.067	 16.484	 100.00	   0.38
node:X:child:rel_shallow=advcl,node:X:own:Tense=Past	     15	        0	 no      	 -0.007	 16.484	 100.00	   0.38
node:X:own:Mood=Ind,node:X:child:Degree=Pos       	     17	        0	 no      	 -0.007	 18.681	 100.00	   0.38
node:CLH:own:Voice=Act,node:X:child:Gender=Com,node:CLH:own:Mood=Ind	     36	        3	 yes     	  0.006	 42.857	   8.33	   0.05
node:X:child:upos=NOUN,node:X:child:rel_shallow=xcomp,node:CLH:own:Mood=Ind	      5	        1	 yes     	  0.150	 14.286	  20.00	   0.42
node:X:child:upos=NOUN,node:X:child:rel_shallow=xcomp,node:CLH:own:VerbForm=Fin	      5	        1	 yes     	  0.122	 14.286	  20.00	   0.42
node:X:child:Gender=Com,node:CLH:own:Mood=Ind,node:X:child:Case=Nom	     36	        3	 yes     	  0.018	 42.857	   8.33	   0.05
node:X:child:upos=PRON,node:X:child:Voice=Act,node:X:child:rel_shallow=conj	      5	        2	 yes     	  0.010	 28.571	  40.00	   0.92
node:X:child:upos=SCONJ,node:X:child:rel_shallow=conj,node:X:child:Definite=Ind	      5	        2	 yes     	  0.021	 28.571	  40.00	   0.92
node:X:child:rel_shallow=obj,node:Y:own:has_child=No,node:X:parent:position=before	     40	        0	 no      	 -0.069	 43.956	 100.00	   0.38
node:X:own:Mood=Ind,node:X:child:rel_shallow=advcl,node:X:own:Tense=Past	     15	        0	 no      	 -0.027	 16.484	 100.00	   0.38
node:X:own:Mood=Ind,node:X:child:rel_shallow=nsubj:pass,node:Y:own:has_child=No	      8	        0	 no      	 -0.034	  8.791	 100.00	   0.38
node:X:child:upos=SCONJ,node:X:child:rel_shallow=nsubj:pass,node:Y:own:has_child=No	      8	        0	 no      	 -0.007	  8.791	 100.00	   0.38
node:X:child:rel_shallow=nsubj:pass,node:Y:own:has_child=No,node:X:child:Case=Nom	      8	        0	 no      	 -0.033	  8.791	 100.00	   0.38
node:X:child:Degree=Pos                           	     17	        0	 no      	 -0.000	 18.681	 100.00	   0.38
node:X:own:VerbForm=Fin,node:X:child:Degree=Pos   	     17	        0	 no      	 -0.003	 18.681	 100.00	   0.38
node:X:child:rel_shallow=nsubj:pass,node:Y:own:has_child=No	      8	        0	 no      	 -0.023	  8.791	 100.00	   0.38
node:X:child:upos=PRON,node:X:child:rel_shallow=mark,node:Y:own:has_child=No	     68	        3	 no      	 -0.064	 71.429	  95.59	   0.11
node:CLH:own:Tense=Past,node:X:child:rel_shallow=xcomp,node:X:parent:position=before	      5	        1	 yes     	  0.281	 14.286	  20.00	   0.42
node:X:child:upos=PRON,node:X:child:rel_shallow=conj,node:X:child:Mood=Ind	      5	        2	 yes     	  0.007	 28.571	  40.00	   0.92
node:X:own:Mood=Ind,node:X:child:rel_shallow=obj,node:X:parent:position=before	     40	        0	 no      	 -0.048	 43.956	 100.00	   0.38
node:X:own:VerbForm=Fin,node:X:child:rel_shallow=obj,node:X:parent:position=before	     40	        0	 no      	 -0.015	 43.956	 100.00	   0.38
node:X:own:Mood=Ind,node:X:own:VerbForm=Fin,node:X:child:Degree=Pos	     17	        0	 no      	 -0.006	 18.681	 100.00	   0.38
node:X:own:Mood=Ind,node:Y:own:has_child=No,node:X:child:Degree=Pos	     17	        0	 no      	 -0.031	 18.681	 100.00	   0.38
node:X:own:VerbForm=Fin,node:Y:own:has_child=No,node:X:child:Degree=Pos	     17	        0	 no      	 -0.026	 18.681	 100.00	   0.38
node:X:child:rel_shallow=obj,node:X:parent:position=before	     40	        0	 no      	 -0.069	 43.956	 100.00	   0.38
node:Y:own:has_child=No,node:X:child:Degree=Pos   	     17	        0	 no      	 -0.018	 18.681	 100.00	   0.38
