gold\system	_	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	dep	det	discourse	expl	fixed	flat	goeswith	iobj	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	punct	root	vocative	xcomp
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
acl	0	19	35	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	6	0	9	0	2
advcl	0	7	17	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3	0	1	0	6	0	0
advmod	0	0	0	173	1	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	1	5	0	4	2	0	0	0	1	0	0
amod	0	0	0	4	144	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	6	3	0	0	0	1	0	0
appos	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	3	0	0	0	1	0	0
aux	0	0	3	0	0	0	43	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	6	0	0
case	0	0	0	5	0	0	0	259	0	0	1	0	0	0	0	0	0	0	0	2	0	0	17	0	4	0	2	1	0	0	0	0	0	0
cc	0	0	0	3	0	0	0	2	107	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
ccomp	0	0	15	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	3	0	1
compound	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
conj	0	9	11	1	13	0	0	1	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	7	3	1	0	11	0	9	0	3	0	3
cop	0	2	1	0	1	0	0	0	0	0	0	1	20	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	4	0	1
csubj	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
dep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
det	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	137	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0
discourse	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
expl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
fixed	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
flat	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	3	3	0	1	0	0	0	0	0	0	0
goeswith	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
iobj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	3	0	1	0	0	0	0	0	0	0
mark	0	1	0	9	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	5	0	0	1	0	0	1	0	0	0
nmod	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	143	5	0	0	28	0	0	0	0	0	1
nsubj	0	0	0	1	2	0	1	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0	3	5	190	0	14	7	0	0	0	1	0	0
nummod	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
obj	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	18	0	3	15	0	84	7	0	0	0	1	0	2
obl	0	1	0	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	31	22	0	5	152	0	0	0	2	0	0
orphan	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
parataxis	0	1	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0
punct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0
root	0	2	11	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	1	5	0	1	5	0	6	0	36	0	4
vocative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0
xcomp	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	4	0	0	0	2	0	27
